City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Kaitangata,NZ,-46.2817,169.8464,43.74,93,100,12.57,overcast clouds
275,Saint-Augustin,CA,51.226,-58.6502,48.67,80,86,10.92,overcast clouds
276,Tessalit,ML,20.1986,1.0114,89.49,17,81,4.09,broken clouds
277,Svetlaya,RU,46.5389,138.3297,57.9,74,30,5.82,scattered clouds
278,Hofn,IS,64.2539,-15.2082,45.1,67,80,4.14,broken clouds
279,Wenatchee,US,47.4235,-120.3103,71.89,37,20,17.27,haze
280,Tuatapere,NZ,-46.1333,167.6833,45.18,85,90,9.55,overcast clouds
281,Tari,NG,12.4086,4.4914,73.76,87,44,10.09,scattered clouds
282,Nalut,LY,30.3333,10.85,72.34,30,70,6.51,broken clouds
283,Umm Lajj,SA,25.0213,37.2685,87.53,36,0,11.36,clear sky
284,Sabang,ID,5.8933,95.3214,80.51,80,100,25.66,light rain
285,Orlik,RU,52.5178,99.825,45.43,51,99,1.48,overcast clouds
286,Parintins,BR,-2.6283,-56.7358,78.62,63,14,4.59,few clouds
287,Fairbanks,US,64.8378,-147.7164,50.34,58,20,4.61,few clouds
288,North Bend,US,43.4065,-124.2243,63.91,90,100,10.36,overcast clouds
289,Porangatu,BR,-13.4408,-49.1486,78.55,29,87,1.77,overcast clouds
290,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.34,83,39,7.67,scattered clouds
291,Xunchang,CN,28.4543,104.715,77.13,64,18,2.95,few clouds
292,Kenai,US,60.5544,-151.2583,53.1,65,100,11.5,overcast clouds
293,Clyde River,CA,70.4692,-68.5914,26.83,86,100,2.3,overcast clouds
294,Beidao,CN,34.5686,105.8933,72.84,51,16,12.39,few clouds
295,Bairiki,KI,1.3292,172.9752,80.6,94,75,2.3,light intensity shower rain
296,Mpika,ZM,-11.8343,31.4529,59.47,66,28,7.18,scattered clouds
297,Pitimbu,BR,-7.4706,-34.8086,73.99,82,8,5.97,clear sky
298,Auki,SB,-8.7676,160.7034,86.14,61,77,4.83,broken clouds
299,Husavik,IS,66.0449,-17.3389,42.4,77,100,6.87,overcast clouds
300,Ambilobe,MG,-13.2,49.05,71.22,57,2,3.89,clear sky
301,Marysville,US,48.0518,-122.1771,62.19,84,0,3.0,clear sky
302,Ust-Nera,RU,64.5667,143.2,28.04,81,93,4.74,overcast clouds
303,Sicamous,CA,50.8331,-118.9856,59.97,54,98,2.91,overcast clouds
304,Cabedelo,BR,-6.9811,-34.8339,74.07,81,26,7.23,scattered clouds
305,Slave Lake,CA,55.2834,-114.769,55.38,88,100,0.0,overcast clouds
306,Portland,US,45.5234,-122.6762,65.8,80,100,4.0,light rain
307,Nieuw Amsterdam,SR,5.8833,-55.0833,81.01,85,63,9.73,broken clouds
308,Ulaangom,MN,49.9811,92.0667,55.58,34,100,4.16,overcast clouds
309,Shiyan,CN,32.6475,110.7781,80.4,34,86,3.96,overcast clouds
310,Kalabo,ZM,-14.97,22.6814,67.87,35,57,5.97,broken clouds
311,Sioux Lookout,CA,50.1001,-91.917,46.47,66,0,8.05,clear sky
312,Wabana,CA,47.6332,-52.9481,68.58,96,100,16.11,light intensity shower rain
313,Ileza,RU,61.0533,43.9002,29.41,88,100,11.34,light snow
314,Tokonou,GN,9.65,-9.7833,69.75,92,100,2.13,overcast clouds
315,Bolshoye Murashkino,RU,55.7826,44.7754,50.13,98,100,5.12,overcast clouds
316,Katsuura,JP,35.1333,140.3,73.51,66,100,4.85,light rain
317,Bengkulu,ID,-3.8004,102.2655,82.47,70,68,5.3,broken clouds
318,Rudnogorsk,RU,57.2639,103.7519,36.01,80,99,2.37,overcast clouds
319,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,9.22,broken clouds
320,Stykkisholmur,IS,65.0757,-22.7297,45.41,93,100,11.59,overcast clouds
321,San Luis,AR,-33.295,-66.3356,52.9,68,100,5.7,overcast clouds
322,San Rafael,AR,-34.6177,-68.3301,52.83,70,100,7.02,overcast clouds
323,Dunedin,NZ,-45.8742,170.5036,48.79,89,100,11.99,overcast clouds
324,Vila,PT,42.0304,-8.1588,49.69,83,100,4.09,light rain
325,Prince Rupert,CA,54.3161,-130.3201,59.09,96,100,2.3,overcast clouds
326,Trelew,AR,-43.249,-65.3051,63.34,37,0,15.48,clear sky
327,Flin Flon,CA,54.7682,-101.865,55.31,66,28,3.67,scattered clouds
328,Malakal,SS,9.5334,31.6605,71.64,88,83,2.33,broken clouds
329,Saint George,US,37.1041,-113.5841,78.94,42,0,4.61,clear sky
330,Mucuri,BR,-18.0864,-39.5508,73.35,88,40,12.55,scattered clouds
331,Minsk,BY,53.9,27.5667,44.35,91,69,6.6,broken clouds
332,Nehoiu,RO,45.4167,26.3,58.06,77,92,1.54,overcast clouds
333,Glenwood Springs,US,39.5505,-107.3248,67.12,61,75,9.22,broken clouds
334,Sharjah,AE,25.3573,55.4033,84.18,74,0,5.75,clear sky
335,Saquena,PE,-4.6667,-73.5167,76.73,74,49,3.6,scattered clouds
336,Santiago Del Estero,AR,-27.7951,-64.2615,58.87,77,91,9.66,overcast clouds
337,Tucupita,VE,9.0622,-62.051,72.54,99,100,0.58,overcast clouds
338,Mogadishu,SO,2.0371,45.3438,78.67,78,75,16.11,broken clouds
339,Ukiah,US,39.1502,-123.2078,66.09,68,0,13.8,clear sky
340,Mexico,PH,15.0646,120.7198,87.51,63,91,3.15,overcast clouds
341,Bjornevatn,NO,69.6672,29.9847,46.02,87,100,10.36,overcast clouds
342,San Andres,CO,12.5847,-81.7006,80.62,89,20,2.3,few clouds
343,Kaspiyskiy,RU,45.3929,47.3707,67.8,74,89,6.93,overcast clouds
344,Juneau,US,58.3019,-134.4197,53.1,94,100,0.0,overcast clouds
