City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Rundu,NA,2022-09-26 00:58:09,-17.9333,19.7667,71.44,25,6,5.55
192,Trofors,NO,2022-09-26 00:58:10,65.5333,13.4063,49.87,82,40,8.66
193,Paita,PE,2022-09-26 00:58:10,-5.0892,-81.1144,63.7,79,97,16.91
194,Khatanga,RU,2022-09-26 00:58:11,71.9667,102.5,26.92,95,100,13.22
195,Guerrero Negro,MX,2022-09-26 00:58:11,27.9769,-114.0611,75.56,78,0,14.97
196,Cidreira,BR,2022-09-26 00:58:12,-30.1811,-50.2056,61.59,90,100,11.43
197,Kaitangata,NZ,2022-09-26 00:58:12,-46.2817,169.8464,61.99,62,78,4.94
198,Dakar,SN,2022-09-26 00:58:12,14.6937,-17.4441,79.68,89,20,2.3
199,Marinette,US,2022-09-26 00:58:13,45.1,-87.6307,54.09,83,94,14.76
200,Tura,IN,2022-09-26 00:58:14,25.5198,90.2201,74.39,90,91,2.64
201,Tatarsk,RU,2022-09-26 00:58:14,55.219,75.9828,35.13,73,100,10.02
202,Bonthe,SL,2022-09-26 00:58:14,7.5264,-12.505,74.77,92,100,6.02
203,Tiksi,RU,2022-09-26 00:58:15,71.6872,128.8694,35.04,75,100,24.85
204,Canas,CR,2022-09-26 00:58:15,10.4294,-85.0931,78.6,97,100,0.47
205,Kangaatsiaq,GL,2022-09-26 00:58:16,68.3065,-53.4641,37.17,64,100,14.2
206,Meulaboh,ID,2022-09-26 00:57:55,4.1363,96.1285,76.93,87,100,4.0
207,Vestmannaeyjar,IS,2022-09-26 00:58:17,63.4427,-20.2734,45.59,70,1,16.71
208,Nan,TH,2022-09-26 00:58:18,18.8333,100.6667,73.42,100,40,0.0
209,Pevek,RU,2022-09-26 00:58:18,69.7008,170.3133,32.16,65,15,1.95
210,Yatou,CN,2022-09-26 00:58:19,37.15,122.3833,70.02,65,0,4.59
211,Novyy Urengoy,RU,2022-09-26 00:54:36,66.0833,76.6333,29.34,85,98,16.71
212,Margate,GB,2022-09-26 00:58:21,51.3813,1.3862,53.31,74,100,4.0
213,Luderitz,NA,2022-09-26 00:58:21,-26.6481,15.1594,53.69,82,2,5.28
214,Torbay,CA,2022-09-26 00:57:51,47.6666,-52.7314,53.28,85,0,16.11
215,Nattam,IN,2022-09-26 00:58:22,10.2333,78.2333,77.45,74,100,0.65
